construct,transcript_nt,gc,mfe_kcal,mfe_per_nt,ensemble_free_energy,ensemble_diversity,start_accessibility,cap_proximal_mfe,cai,cpg_count,cpg_obs_exp
P0,497,0.5292,-164.5,-0.3310,-174.2,133.5,0.457,-5.5,0.8985,11,0.316
P1,599,0.5359,-194.1,-0.3240,-208.1,124.7,0.457,-5.5,0.9044,18,0.421
P2,599,0.5376,-198.0,-0.3306,-211.0,127.0,0.457,-5.5,0.8923,19,0.440
P3,701,0.5392,-230.7,-0.3291,-243.3,266.9,0.457,-5.5,0.8942,26,0.515
P4,701,0.5392,-231.9,-0.3308,-245.6,160.9,0.457,-5.5,0.8942,26,0.515
P5,416,0.5457,-126.2,-0.3034,-135.3,128.5,0.518,-4.4,0.8932,21,0.701
P6,575,0.5548,-207.3,-0.3605,-218.4,135.4,0.512,-7.9,0.8539,26,0.596
P7,701,0.5549,-250.7,-0.3576,-264.2,164.9,0.518,-4.4,0.8509,32,0.607
P8,701,0.5549,-247.6,-0.3532,-260.3,150.2,0.526,-4.4,0.8509,32,0.607
